distribution,condition,quantile,value,unit,n_observations
speed,RUN,0.258,205.9913728739947,micron/s,1284300
speed,RUN,0.259,206.1023014720129,micron/s,1284300
speed,RUN,0.26,206.21287072808965,micron/s,1284300
speed,RUN,0.261,206.32087129670597,micron/s,1284300
speed,RUN,0.262,206.43058992836913,micron/s,1284300
speed,RUN,0.263,206.54133995408966,micron/s,1284300
speed,RUN,0.264,206.65439686819758,micron/s,1284300
speed,RUN,0.265,206.76007893647895,micron/s,1284300
speed,RUN,0.266,206.8733048584084,micron/s,1284300
speed,RUN,0.267,206.98614591733943,micron/s,1284300
speed,RUN,0.268,207.09358731461805,micron/s,1284300
speed,RUN,0.269,207.20585679203586,micron/s,1284300
speed,RUN,0.27,207.30975999513583,micron/s,1284300
speed,RUN,0.271,207.41766957028372,micron/s,1284300
speed,RUN,0.272,207.52908600780964,micron/s,1284300
speed,RUN,0.273,207.63599154108596,micron/s,1284300
speed,RUN,0.274,207.7475335491054,micron/s,1284300
speed,RUN,0.275,207.85522031478285,micron/s,1284300
speed,RUN,0.276,207.96189256416227,micron/s,1284300
speed,RUN,0.277,208.06991138489582,micron/s,1284300
speed,RUN,0.278,208.17567427532748,micron/s,1284300
speed,RUN,0.279,208.2875251620876,micron/s,1284300
speed,RUN,0.28,208.3930857850878,micron/s,1284300
speed,RUN,0.281,208.49909660076187,micron/s,1284300
speed,RUN,0.28200000000000003,208.6029098123608,micron/s,1284300
speed,RUN,0.28300000000000003,208.71099769404083,micron/s,1284300
speed,RUN,0.28400000000000003,208.8160356874371,micron/s,1284300
speed,RUN,0.28500000000000003,208.91992758968894,micron/s,1284300
speed,RUN,0.28600000000000003,209.02844721507316,micron/s,1284300
speed,RUN,0.28700000000000003,209.1409423334225,micron/s,1284300
speed,RUN,0.28800000000000003,209.24482555424933,micron/s,1284300
speed,RUN,0.289,209.35497536726407,micron/s,1284300
speed,RUN,0.29,209.45857726056067,micron/s,1284300
speed,RUN,0.291,209.56087511349685,micron/s,1284300
speed,RUN,0.292,209.66832737434035,micron/s,1284300
speed,RUN,0.293,209.7735165890006,micron/s,1284300
speed,RUN,0.294,209.88178399408142,micron/s,1284300
speed,RUN,0.295,209.99276529757466,micron/s,1284300
speed,RUN,0.296,210.09392883863913,micron/s,1284300
speed,RUN,0.297,210.2047760349176,micron/s,1284300
speed,RUN,0.298,210.31224489958453,micron/s,1284300
speed,RUN,0.299,210.41688319865713,micron/s,1284300
speed,RUN,0.3,210.52000798421642,micron/s,1284300
speed,RUN,0.301,210.62786858339302,micron/s,1284300
speed,RUN,0.302,210.73876745510773,micron/s,1284300
speed,RUN,0.303,210.84172180002523,micron/s,1284300
speed,RUN,0.304,210.94608445984707,micron/s,1284300
speed,RUN,0.305,211.0541666935467,micron/s,1284300
speed,RUN,0.306,211.16104063686186,micron/s,1284300
speed,RUN,0.307,211.26228116150523,micron/s,1284300
speed,RUN,0.308,211.35912641385397,micron/s,1284300
speed,RUN,0.309,211.46596429627428,micron/s,1284300
speed,RUN,0.31,211.57341171508935,micron/s,1284300
speed,RUN,0.311,211.68475928020416,micron/s,1284300
speed,RUN,0.312,211.79314948555992,micron/s,1284300
speed,RUN,0.313,211.89563515093366,micron/s,1284300
speed,RUN,0.314,212.001895607736,micron/s,1284300
speed,RUN,0.315,212.10726108987484,micron/s,1284300
speed,RUN,0.316,212.2057412581957,micron/s,1284300
speed,RUN,0.317,212.31023352937342,micron/s,1284300
speed,RUN,0.318,212.419992173749,micron/s,1284300
speed,RUN,0.319,212.52667138416226,micron/s,1284300
speed,RUN,0.32,212.63415160995052,micron/s,1284300
speed,RUN,0.321,212.73628513657948,micron/s,1284300
speed,RUN,0.322,212.83606124613064,micron/s,1284300
