x,y,radius
22.05179406,33.35731506,0.5
254.5563842,33.77560784,0.5
348.5471314,33.18842717,0.5
151.6647728,33.27363652,0.5
272.606294,33.68274089,0.5
394.3769646,33.58133085,0.5
141.8423833,34.14226045,0.5
33.00394112,34.4376946,0.5
190.187457,34.61026745,0.5
310.5750468,35.32473217,0.5
132.8980055,35.50220922,0.5
166.0636498,35.6339465,0.5
53.17699386,36.07311082,0.5
220.0002378,35.9427639,0.5
229.5205009,35.86723215,0.5
315.7074383,35.97058038,0.5
331.8943491,35.98907595,0.5
205.7812614,36.26093107,0.5
15.15592181,36.68672036,0.5
203.4131562,36.8138723,0.5
212.0014204,36.82240241,0.5
235.9302128,36.78699593,0.5
251.7599252,36.84440875,0.5
267.4415504,36.59570344,0.5
292.2669321,36.56324374,0.5
297.9764259,36.80079939,0.5
135.9090325,37.09316222,0.5
51.0521603,37.25523346,0.5
119.8786856,37.43116684,0.5
150.5879749,37.29367896,0.5
177.5209627,37.28379874,0.5
374.7886832,37.20055283,0.5
70.24709375,37.88418801,0.5
276.5767141,38.21626823,0.5
43.86918836,39.06878197,0.5
331.8294384,38.84125382,0.5
12.44952183,39.23855821,0.5
385.5056449,39.18651509,0.5
266.2749647,39.75517598,0.5
149.7436113,39.98438811,0.5
103.484481,40.85729015,0.5
392.2630438,40.49190814,0.5
84.2136528,41.08717993,0.5
316.3873238,41.12523948,0.5
346.6704757,41.27110149,0.5
90.41687685,41.46309115,0.5
257.8392133,41.41335562,0.5
95.44522271,41.89967902,0.5
274.8480473,41.76374713,0.5
283.5725874,41.94054075,0.5
11.55772849,42.17389367,0.5
116.7447511,42.31565617,0.5
153.0849101,42.18930137,0.5
171.5432435,42.19669805,0.5
220.0786075,42.46955993,0.5
261.3391146,42.31846595,0.5
286.3021463,42.47647991,0.5
63.84959883,42.27193578,0.5
78.31628837,42.71652946,0.5
268.6684224,42.69793385,0.5
329.8547382,42.55841234,0.5
16.9325484,43.67564524,0.5
56.36590568,42.93631897,0.5
123.47517,42.8708287,0.5
212.9294841,43.05936505,0.5
292.1713008,43.16835085,0.5
20.65171656,43.87426609,0.5
73.77550802,43.85449556,0.5
306.5455313,43.91972014,0.5
364.6414341,43.82880073,0.5
361.5730971,44.13518253,0.5
239.5142104,44.50298148,0.5
346.4177787,44.32772437,0.5
378.3356707,44.21497668,0.5
201.9373533,44.87563608,0.5
228.7562592,44.77595757,0.5
392.7764281,44.56340195,0.5
82.07865727,45.3132426,0.5
258.8614774,45.15671351,0.5
22.40810395,45.74484127,0.5
36.10721248,45.47326334,0.5
55.6229724,45.74575593,0.5
138.505092,45.53425556,0.5
165.8162958,45.59273906,0.5
277.096174,45.79002359,0.5
293.8042134,45.98936886,0.5
328.2781421,46.08551875,0.5
6.35624383,46.4095641,0.5
158.0903704,46.44328224,0.5
212.244685,46.36336289,0.5
311.0788107,46.25760055,0.5
397.7444784,46.34830717,0.5
73.04518922,46.84730345,0.5
178.3001526,46.88702502,0.5
182.838802,47.03782441,0.5
279.9981266,46.82573525,0.5
325.3162725,47.19824901,0.5
32.76706332,48.15990208,0.5
126.1751065,48.74091785,0.5
236.637295,48.82777323,0.5
262.2119939,49.45623374,0.5
269.7084462,49.14384808,0.5
340.1203634,49.00230485,0.5
20.42591551,49.36007729,0.5
394.7446778,49.04316312,0.5
9.623202376,50.09473583,0.5
322.3791598,49.73341699,0.5
82.8162738,49.95746624,0.5
266.6923548,50.26866775,0.5
330.7358168,50.30699808,0.5
209.1517273,50.41010841,0.5
309.2215746,50.35691185,0.5
361.530579,50.42578433,0.5
31.58544149,50.74016004,0.5
94.23780729,50.76223811,0.5
129.9662156,51.01604618,0.5
303.0908206,50.56286712,0.5
167.1012281,51.31296915,0.5
288.5131137,51.36420039,0.5
76.00683437,51.53432113,0.5
213.8565133,51.80254099,0.5
247.0308732,51.56619004,0.5
336.2731303,51.52488341,0.5
347.1525097,51.66584515,0.5
20.67574199,51.48710688,0.5
34.18398102,51.87830751,0.5
65.18550388,52.03654842,0.5
255.6166828,51.99598942,0.5
2.566240788,52.20399122,0.5
351.4807835,52.30965877,0.5
13.63292572,52.42446959,0.5
265.7848723,53.07631848,0.5
62.33102479,53.44696005,0.5
10.98865372,53.85159524,0.5
51.00392497,53.69996415,0.5
357.9053264,53.6042126,0.5
77.10430037,54.36037872,0.5
148.6445984,54.58393974,0.5
336.2156366,55.0830628,0.5
137.1267073,55.59892628,0.5
276.2629618,55.8208418,0.5
200.3022057,55.95876136,0.5
87.44916583,56.54739493,0.5
227.3153983,56.32390348,0.5
354.8882999,56.39656709,0.5
358.6296718,56.34730541,0.5
8.370348135,56.93223945,0.5
25.78523683,56.49582291,0.5
311.1266518,56.99479665,0.5
360.7476002,56.83113459,0.5
373.4070285,56.9062779,0.5
126.4468919,57.10241054,0.5
241.9850874,57.26323132,0.5
33.65958874,57.65029274,0.5
95.8704838,57.41267055,0.5
45.00642606,58.20157151,0.5
159.2454007,58.71217762,0.5
249.9275028,58.40259348,0.5
