distribution,condition,quantile,value,unit,n_observations
speed,RUN,0.24,182.66812213335544,micron/s,17669
speed,RUN,0.241,182.83526306379923,micron/s,17669
speed,RUN,0.242,183.05787811754445,micron/s,17669
speed,RUN,0.243,183.17562038443407,micron/s,17669
speed,RUN,0.244,183.35436997651234,micron/s,17669
speed,RUN,0.245,183.6236568848685,micron/s,17669
speed,RUN,0.246,183.75070655332857,micron/s,17669
speed,RUN,0.247,183.9593382248773,micron/s,17669
speed,RUN,0.248,184.113340687735,micron/s,17669
speed,RUN,0.249,184.2955967101266,micron/s,17669
speed,RUN,0.25,184.53538187441984,micron/s,17669
speed,RUN,0.251,184.7129661973732,micron/s,17669
speed,RUN,0.252,184.88467499205493,micron/s,17669
speed,RUN,0.253,185.0278883384191,micron/s,17669
speed,RUN,0.254,185.22321469698718,micron/s,17669
speed,RUN,0.255,185.45327975591056,micron/s,17669
speed,RUN,0.256,185.64300929625145,micron/s,17669
speed,RUN,0.257,185.83809247845798,micron/s,17669
speed,RUN,0.258,185.95380628144966,micron/s,17669
speed,RUN,0.259,186.1432333592038,micron/s,17669
speed,RUN,0.26,186.2631564643802,micron/s,17669
speed,RUN,0.261,186.39118884645833,micron/s,17669
speed,RUN,0.262,186.5994280086138,micron/s,17669
speed,RUN,0.263,186.77701956811498,micron/s,17669
speed,RUN,0.264,186.8825658982027,micron/s,17669
speed,RUN,0.265,187.03557469081602,micron/s,17669
speed,RUN,0.266,187.17388143924015,micron/s,17669
speed,RUN,0.267,187.33150175725106,micron/s,17669
speed,RUN,0.268,187.49926435413371,micron/s,17669
speed,RUN,0.269,187.63900059923995,micron/s,17669
speed,RUN,0.27,187.81514746238537,micron/s,17669
speed,RUN,0.271,187.96091774718494,micron/s,17669
speed,RUN,0.272,188.0969297043669,micron/s,17669
speed,RUN,0.273,188.26925720395008,micron/s,17669
speed,RUN,0.274,188.38966741690282,micron/s,17669
speed,RUN,0.275,188.47942899406993,micron/s,17669
speed,RUN,0.276,188.5431879027585,micron/s,17669
speed,RUN,0.277,188.65737467375263,micron/s,17669
speed,RUN,0.278,188.75354348577957,micron/s,17669
speed,RUN,0.279,188.8916110660213,micron/s,17669
speed,RUN,0.28,189.0276406858061,micron/s,17669
speed,RUN,0.281,189.1134899564272,micron/s,17669
speed,RUN,0.28200000000000003,189.25984677209004,micron/s,17669
speed,RUN,0.28300000000000003,189.40023660621057,micron/s,17669
speed,RUN,0.28400000000000003,189.55965601632522,micron/s,17669
speed,RUN,0.28500000000000003,189.6947755099329,micron/s,17669
speed,RUN,0.28600000000000003,189.80723168512048,micron/s,17669
speed,RUN,0.28700000000000003,189.9157041670919,micron/s,17669
speed,RUN,0.28800000000000003,190.16267355635694,micron/s,17669
speed,RUN,0.289,190.3401565518499,micron/s,17669
speed,RUN,0.29,190.44922326221925,micron/s,17669
speed,RUN,0.291,190.6261048244097,micron/s,17669
speed,RUN,0.292,190.72844167513685,micron/s,17669
speed,RUN,0.293,190.86259105680395,micron/s,17669
speed,RUN,0.294,190.96309584522157,micron/s,17669
speed,RUN,0.295,191.08532883320936,micron/s,17669
speed,RUN,0.296,191.22774384300783,micron/s,17669
speed,RUN,0.297,191.33529735427996,micron/s,17669
speed,RUN,0.298,191.45102709239956,micron/s,17669
speed,RUN,0.299,191.5853443061311,micron/s,17669
speed,RUN,0.3,191.79349441361654,micron/s,17669
speed,RUN,0.301,191.90750369199537,micron/s,17669
speed,RUN,0.302,192.01455367393868,micron/s,17669
speed,RUN,0.303,192.12808742872676,micron/s,17669
speed,RUN,0.304,192.1900972688045,micron/s,17669
speed,RUN,0.305,192.32279904400582,micron/s,17669
speed,RUN,0.306,192.46733594893237,micron/s,17669
speed,RUN,0.307,192.61781096893495,micron/s,17669
speed,RUN,0.308,192.73714208112563,micron/s,17669
speed,RUN,0.309,192.833344913566,micron/s,17669
speed,RUN,0.31,192.99606680278038,micron/s,17669
speed,RUN,0.311,193.11522426031783,micron/s,17669
speed,RUN,0.312,193.22141443789297,micron/s,17669
speed,RUN,0.313,193.33008960808363,micron/s,17669
speed,RUN,0.314,193.44859249239832,micron/s,17669
speed,RUN,0.315,193.59906553149997,micron/s,17669
speed,RUN,0.316,193.72331905463943,micron/s,17669
speed,RUN,0.317,193.8695576071342,micron/s,17669
speed,RUN,0.318,194.0143213981742,micron/s,17669
speed,RUN,0.319,194.12382130410856,micron/s,17669
speed,RUN,0.32,194.2865711099434,micron/s,17669
speed,RUN,0.321,194.41187867335572,micron/s,17669
speed,RUN,0.322,194.4952001150948,micron/s,17669
speed,RUN,0.323,194.58608789382384,micron/s,17669
speed,RUN,0.324,194.70756151339583,micron/s,17669
speed,RUN,0.325,194.8298943555249,micron/s,17669
speed,RUN,0.326,194.91500542778928,micron/s,17669
speed,RUN,0.327,195.03655070796017,micron/s,17669
speed,RUN,0.328,195.16674026512243,micron/s,17669
speed,RUN,0.329,195.24588074931972,micron/s,17669
speed,RUN,0.33,195.40651792102466,micron/s,17669
speed,RUN,0.331,195.5176337217806,micron/s,17669
speed,RUN,0.332,195.68078861147146,micron/s,17669
speed,RUN,0.333,195.78624411876245,micron/s,17669
speed,RUN,0.334,195.93265422283082,micron/s,17669
speed,RUN,0.335,196.06612128297394,micron/s,17669
speed,RUN,0.336,196.2197744861441,micron/s,17669
speed,RUN,0.337,196.29762903625803,micron/s,17669
speed,RUN,0.338,196.45916994416564,micron/s,17669
speed,RUN,0.339,196.58923389880806,micron/s,17669
speed,RUN,0.34,196.73035646155503,micron/s,17669
speed,RUN,0.341,196.8441000318564,micron/s,17669
speed,RUN,0.342,196.95475854343175,micron/s,17669
speed,RUN,0.343,197.09145301654647,micron/s,17669
speed,RUN,0.34400000000000003,197.2448218170257,micron/s,17669
speed,RUN,0.34500000000000003,197.37645157820174,micron/s,17669
speed,RUN,0.34600000000000003,197.55104897779094,micron/s,17669
speed,RUN,0.34700000000000003,197.67272766440934,micron/s,17669
speed,RUN,0.34800000000000003,197.8159042109422,micron/s,17669
speed,RUN,0.34900000000000003,197.89421965149774,micron/s,17669
speed,RUN,0.35000000000000003,198.00368740512627,micron/s,17669
speed,RUN,0.35100000000000003,198.08495958925758,micron/s,17669
speed,RUN,0.352,198.19463139397385,micron/s,17669
speed,RUN,0.353,198.3355034436611,micron/s,17669
speed,RUN,0.354,198.44314248167288,micron/s,17669
speed,RUN,0.355,198.52782500539163,micron/s,17669
speed,RUN,0.356,198.6374206233112,micron/s,17669
speed,RUN,0.357,198.73650867054116,micron/s,17669
speed,RUN,0.358,198.81595252156637,micron/s,17669
speed,RUN,0.359,198.95019606988907,micron/s,17669
speed,RUN,0.36,199.14006725566023,micron/s,17669
speed,RUN,0.361,199.2338839657685,micron/s,17669
speed,RUN,0.362,199.3289156720594,micron/s,17669
speed,RUN,0.363,199.42888349540945,micron/s,17669
speed,RUN,0.364,199.52631588965744,micron/s,17669
speed,RUN,0.365,199.617754262201,micron/s,17669
speed,RUN,0.366,199.76569881455393,micron/s,17669
speed,RUN,0.367,199.91818207842988,micron/s,17669
speed,RUN,0.368,200.0201014965462,micron/s,17669
speed,RUN,0.369,200.11631721429228,micron/s,17669
speed,RUN,0.37,200.2141148650995,micron/s,17669
speed,RUN,0.371,200.34019883967028,micron/s,17669
speed,RUN,0.372,200.4483297676632,micron/s,17669
speed,RUN,0.373,200.57773129083375,micron/s,17669
speed,RUN,0.374,200.70128766214046,micron/s,17669
speed,RUN,0.375,200.86052531864897,micron/s,17669
speed,RUN,0.376,200.95262756049348,micron/s,17669
speed,RUN,0.377,201.07502880763798,micron/s,17669
speed,RUN,0.378,201.1586754194126,micron/s,17669
speed,RUN,0.379,201.2522645108739,micron/s,17669
speed,RUN,0.38,201.33363064053935,micron/s,17669
speed,RUN,0.381,201.4646039601832,micron/s,17669
speed,RUN,0.382,201.6003952500833,micron/s,17669
speed,RUN,0.383,201.71305693953553,micron/s,17669
speed,RUN,0.384,201.81317119241604,micron/s,17669
speed,RUN,0.385,201.93681480459554,micron/s,17669
speed,RUN,0.386,202.0076888013066,micron/s,17669
speed,RUN,0.387,202.14734652895115,micron/s,17669
speed,RUN,0.388,202.32036426353133,micron/s,17669
speed,RUN,0.389,202.45511721048902,micron/s,17669
speed,RUN,0.39,202.5819469323021,micron/s,17669
speed,RUN,0.391,202.71225416704095,micron/s,17669
speed,RUN,0.392,202.80191889571344,micron/s,17669
speed,RUN,0.393,202.92075796162428,micron/s,17669
speed,RUN,0.394,202.9831427274759,micron/s,17669
speed,RUN,0.395,203.0913770797321,micron/s,17669
speed,RUN,0.396,203.17777431709192,micron/s,17669
speed,RUN,0.397,203.2587298297491,micron/s,17669
speed,RUN,0.398,203.34627232466812,micron/s,17669
speed,RUN,0.399,203.4592433386158,micron/s,17669
speed,RUN,0.4,203.5734712168852,micron/s,17669
speed,RUN,0.401,203.69121283004787,micron/s,17669
speed,RUN,0.402,203.79732426270513,micron/s,17669
speed,RUN,0.403,203.90952165703493,micron/s,17669
speed,RUN,0.404,204.04105166969626,micron/s,17669
speed,RUN,0.405,204.16856624558764,micron/s,17669
speed,RUN,0.406,204.2893248939472,micron/s,17669
speed,RUN,0.40700000000000003,204.38892554314472,micron/s,17669
speed,RUN,0.40800000000000003,204.50972667132632,micron/s,17669
speed,RUN,0.40900000000000003,204.60832123962004,micron/s,17669
speed,RUN,0.41000000000000003,204.71607838961185,micron/s,17669
speed,RUN,0.41100000000000003,204.82100025427545,micron/s,17669
speed,RUN,0.41200000000000003,204.87512948371705,micron/s,17669
speed,RUN,0.41300000000000003,204.987537413735,micron/s,17669
speed,RUN,0.41400000000000003,205.0725564907246,micron/s,17669
speed,RUN,0.41500000000000004,205.16141915195487,micron/s,17669
speed,RUN,0.41600000000000004,205.2510124079394,micron/s,17669
speed,RUN,0.417,205.3941430685818,micron/s,17669
speed,RUN,0.418,205.55934892555476,micron/s,17669
speed,RUN,0.419,205.64029753393967,micron/s,17669
speed,RUN,0.42,205.72280111590788,micron/s,17669
speed,RUN,0.421,205.81060823042918,micron/s,17669
speed,RUN,0.422,205.93543006309622,micron/s,17669
speed,RUN,0.423,206.0857434091208,micron/s,17669
speed,RUN,0.424,206.1656421804454,micron/s,17669
speed,RUN,0.425,206.28450142849871,micron/s,17669
speed,RUN,0.426,206.39488135187045,micron/s,17669
speed,RUN,0.427,206.4964686596358,micron/s,17669
speed,RUN,0.428,206.57374818453516,micron/s,17669
speed,RUN,0.429,206.62281336132313,micron/s,17669
speed,RUN,0.43,206.73391901439098,micron/s,17669
speed,RUN,0.431,206.81387993987758,micron/s,17669
speed,RUN,0.432,206.89471420208875,micron/s,17669
speed,RUN,0.433,207.0213820650058,micron/s,17669
speed,RUN,0.434,207.18695522869814,micron/s,17669
speed,RUN,0.435,207.3039363407793,micron/s,17669
speed,RUN,0.436,207.40320096721936,micron/s,17669
speed,RUN,0.437,207.4791432582402,micron/s,17669
speed,RUN,0.438,207.54715992767913,micron/s,17669
speed,RUN,0.439,207.6824444602304,micron/s,17669
speed,RUN,0.44,207.7778631621841,micron/s,17669
speed,RUN,0.441,207.84919760485033,micron/s,17669
speed,RUN,0.442,207.97576011111502,micron/s,17669
speed,RUN,0.443,208.04731430131883,micron/s,17669
speed,RUN,0.444,208.13922772926824,micron/s,17669
speed,RUN,0.445,208.24810687083075,micron/s,17669
speed,RUN,0.446,208.32777947486528,micron/s,17669
speed,RUN,0.447,208.43661999492386,micron/s,17669
speed,RUN,0.448,208.51456211945222,micron/s,17669
speed,RUN,0.449,208.5930987057816,micron/s,17669
speed,RUN,0.45,208.70219929413742,micron/s,17669
speed,RUN,0.451,208.79419151775394,micron/s,17669
speed,RUN,0.452,208.88201906131675,micron/s,17669
speed,RUN,0.453,208.98042113986514,micron/s,17669
speed,RUN,0.454,209.05095951626546,micron/s,17669
speed,RUN,0.455,209.13657902838256,micron/s,17669
speed,RUN,0.456,209.2312304609619,micron/s,17669
speed,RUN,0.457,209.3483177424586,micron/s,17669
speed,RUN,0.458,209.4458139357042,micron/s,17669
speed,RUN,0.459,209.56568235418192,micron/s,17669
speed,RUN,0.46,209.66597709573824,micron/s,17669
speed,RUN,0.461,209.73631328251327,micron/s,17669
speed,RUN,0.462,209.83815477862356,micron/s,17669
speed,RUN,0.463,209.94532022792518,micron/s,17669
speed,RUN,0.464,210.02841475500074,micron/s,17669
speed,RUN,0.465,210.10086754137228,micron/s,17669
speed,RUN,0.466,210.2190978273959,micron/s,17669
speed,RUN,0.467,210.30334043768482,micron/s,17669
speed,RUN,0.468,210.36842158303745,micron/s,17669
speed,RUN,0.46900000000000003,210.48723383910703,micron/s,17669
speed,RUN,0.47000000000000003,210.56113158159076,micron/s,17669
speed,RUN,0.47100000000000003,210.6606079902664,micron/s,17669
speed,RUN,0.47200000000000003,210.7763662499948,micron/s,17669
speed,RUN,0.47300000000000003,210.8437064492376,micron/s,17669
speed,RUN,0.47400000000000003,210.92320797103247,micron/s,17669
speed,RUN,0.47500000000000003,210.99506902180812,micron/s,17669
speed,RUN,0.47600000000000003,211.07202917975053,micron/s,17669
speed,RUN,0.47700000000000004,211.17322239596947,micron/s,17669
speed,RUN,0.47800000000000004,211.25630347879314,micron/s,17669
speed,RUN,0.47900000000000004,211.36926796571103,micron/s,17669
speed,RUN,0.48,211.44832408831277,micron/s,17669
speed,RUN,0.481,211.5349346064342,micron/s,17669
speed,RUN,0.482,211.63305034522895,micron/s,17669
speed,RUN,0.483,211.7221238126347,micron/s,17669
speed,RUN,0.484,211.8310827844758,micron/s,17669
speed,RUN,0.485,211.9220646413362,micron/s,17669
speed,RUN,0.486,212.02506436706543,micron/s,17669
speed,RUN,0.487,212.14812190863154,micron/s,17669
speed,RUN,0.488,212.2393445444831,micron/s,17669
speed,RUN,0.489,212.3330867279861,micron/s,17669
speed,RUN,0.49,212.4112804155938,micron/s,17669
speed,RUN,0.491,212.54284334178575,micron/s,17669
speed,RUN,0.492,212.67357896685888,micron/s,17669
speed,RUN,0.493,212.76980427496295,micron/s,17669
speed,RUN,0.494,212.82250260091058,micron/s,17669
speed,RUN,0.495,212.91571943908275,micron/s,17669
speed,RUN,0.496,213.01995956574476,micron/s,17669
speed,RUN,0.497,213.08237345324633,micron/s,17669
speed,RUN,0.498,213.16789077545945,micron/s,17669
speed,RUN,0.499,213.24805804709115,micron/s,17669
speed,RUN,0.5,213.36991027647187,micron/s,17669
speed,RUN,0.501,213.41581322516907,micron/s,17669
speed,RUN,0.502,213.52817086602113,micron/s,17669
